date,rainsum
1-Jan-09,0
2-Jan-09,0
3-Jan-09,0
4-Jan-09,0
5-Jan-09,0
6-Jan-09,0
7-Jan-09,3.9
8-Jan-09,0.4
9-Jan-09,0.9
10-Jan-09,3.9
11-Jan-09,12.1
12-Jan-09,24.7
13-Jan-09,16.7
14-Jan-09,28.5
15-Jan-09,36.4
16-Jan-09,50.8
17-Jan-09,10.8
18-Jan-09,2.3
19-Jan-09,0
20-Jan-09,27
21-Jan-09,38.2
22-Jan-09,0.3
23-Jan-09,12.4
24-Jan-09,2.2
25-Jan-09,0.1
26-Jan-09,0.1
27-Jan-09,0
28-Jan-09,2.7
29-Jan-09,27
30-Jan-09,14.6
31-Jan-09,23.5
1-Feb-09,0
2-Feb-09,0.1
3-Feb-09,0.1
4-Feb-09,0
5-Feb-09,43.7
6-Feb-09,0
7-Feb-09,11.1
8-Feb-09,20.7
9-Feb-09,18.9
10-Feb-09,7
11-Feb-09,0.8
12-Feb-09,8.5
13-Feb-09,43.5
14-Feb-09,0.1
15-Feb-09,0.4
16-Feb-09,1.2
17-Feb-09,0.1
18-Feb-09,2.1
19-Feb-09,6.3
20-Feb-09,38.4
21-Feb-09,9.5
22-Feb-09,1.6
23-Feb-09,0.2
24-Feb-09,2.5
25-Feb-09,88.5
26-Feb-09,0.1
27-Feb-09,0
28-Feb-09,32.3
1-Mar-09,48.6
2-Mar-09,6.8
3-Mar-09,11
4-Mar-09,0.3
5-Mar-09,0
6-Mar-09,0
7-Mar-09,40.8
8-Mar-09,51.6
9-Mar-09,15.1
10-Mar-09,14.5
11-Mar-09,12.6
12-Mar-09,0.1
13-Mar-09,0
14-Mar-09,0
15-Mar-09,0.2
16-Mar-09,0.8
17-Mar-09,55.7
18-Mar-09,0.2
19-Mar-09,0
20-Mar-09,52.4
21-Mar-09,31.3
22-Mar-09,5.3
23-Mar-09,0
24-Mar-09,8.3
25-Mar-09,2.3
26-Mar-09,0
27-Mar-09,0
28-Mar-09,0
29-Mar-09,0
30-Mar-09,0
31-Mar-09,0
1-Apr-09,0
2-Apr-09,0
3-Apr-09,0
4-Apr-09,0
5-Apr-09,0
6-Apr-09,0
7-Apr-09,0
8-Apr-09,0
9-Apr-09,0
10-Apr-09,0
11-Apr-09,0
12-Apr-09,0
13-Apr-09,0
14-Apr-09,0
15-Apr-09,0
16-Apr-09,0
17-Apr-09,0
18-Apr-09,0
19-Apr-09,0
20-Apr-09,17.8
21-Apr-09,0.2
22-Apr-09,33.3
23-Apr-09,0.1
24-Apr-09,10.5
25-Apr-09,0.9
26-Apr-09,0
27-Apr-09,0.3
28-Apr-09,14.2
29-Apr-09,34
30-Apr-09,0
1-May-09,31
2-May-09,0.2
3-May-09,0
4-May-09,0
5-May-09,0
6-May-09,0
7-May-09,0
8-May-09,0
9-May-09,0
10-May-09,0
11-May-09,0
12-May-09,2.1
13-May-09,0
14-May-09,0
15-May-09,0
16-May-09,0
17-May-09,0
18-May-09,0
19-May-09,0
20-May-09,0
21-May-09,0
22-May-09,0
23-May-09,0.2
24-May-09,0
25-May-09,0
26-May-09,0
27-May-09,0
28-May-09,0
29-May-09,0
30-May-09,0
31-May-09,0
1-Jun-09,0
